url,page_key,domain,state,document_size,discovery_date,last_crawled_date,is_page,note,source_file
https://www.bookconv.com/,https://www.bookconv.com/,www.bookconv.com,indexed,85280,2026-07-26,2026-09-04,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/pricing,https://www.bookconv.com/pricing,www.bookconv.com,crawled_empty,0,2026-08-23,2026-08-23,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/batch,https://www.bookconv.com/batch,www.bookconv.com,indexed,55366,2026-08-23,2026-08-24,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/blog,https://www.bookconv.com/blog,www.bookconv.com,crawled_empty,0,2026-08-30,2026-08-30,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/tutorial,https://www.bookconv.com/tutorial,www.bookconv.com,crawled_empty,0,2026-08-23,2026-08-23,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/help,https://www.bookconv.com/help,www.bookconv.com,crawled_empty,0,2026-08-15,2026-08-15,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/privacy,https://www.bookconv.com/privacy,www.bookconv.com,not_discovered,0,,,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/terms,https://www.bookconv.com/terms,www.bookconv.com,not_discovered,0,,,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/epub-to-azw3,https://www.bookconv.com/convert/epub-to-azw3,www.bookconv.com,not_discovered,0,,,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/azw3-to-epub,https://www.bookconv.com/convert/azw3-to-epub,www.bookconv.com,not_discovered,0,,,true,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/epub-to-rtf,https://www.bookconv.com/convert/epub-to-rtf,www.bookconv.com,error,,,,,"HTTP 400 {""ErrorCode"":5,""Message"":""ERROR!!! ThrottleHost""}",E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/epub-to-jpg,https://www.bookconv.com/convert/epub-to-jpg,www.bookconv.com,error,,,,,"HTTP 400 {""ErrorCode"":5,""Message"":""ERROR!!! ThrottleHost""}",E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/epub-to-html,https://www.bookconv.com/convert/epub-to-html,www.bookconv.com,error,,,,,"HTTP 400 {""ErrorCode"":5,""Message"":""ERROR!!! ThrottleHost""}",E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/epub-to-doc,https://www.bookconv.com/convert/epub-to-doc,www.bookconv.com,error,,,,,"HTTP 400 {""ErrorCode"":5,""Message"":""ERROR!!! ThrottleHost""}",E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/fb2-to-epub,https://www.bookconv.com/convert/fb2-to-epub,www.bookconv.com,error,,,,,"HTTP 400 {""ErrorCode"":5,""Message"":""ERROR!!! ThrottleHost""}",E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
https://www.bookconv.com/convert/lit-to-epub,https://www.bookconv.com/convert/lit-to-epub,www.bookconv.com,error,,,,,"HTTP 400 {""ErrorCode"":5,""Message"":""ERROR!!! ThrottleHost""}",E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing-url-status-2026-09-04.csv
